Date,Open,High,Low,Close,Adj Close,Volume,60_MA,60ma,extent_of_fall
2002-07-01,910.0,910.0,880.0,897.5999755859375,811.7252197265625,426,,,
2002-07-02,900.0,905.0,895.0,903.6500244140624,817.1964111328125,310,,,
2002-07-03,910.0,910.0,900.0,906.7000122070312,819.9547119140625,336,,,
2002-07-04,920.0,925.0,910.0,916.7999877929688,829.0884399414062,591,,,
2002-07-05,915.0,935.0,910.0,927.2999877929688,838.5836181640625,1623,,,
2002-07-08,930.0,933.0,918.0,929.0499877929688,840.1661987304688,1595,,,
2002-07-09,934.0,934.0,900.1500244140625,904.4000244140624,817.87451171875,586,,,
2002-07-10,910.0,917.9000244140624,901.0,910.7000122070312,823.5716552734375,826,,,
2002-07-11,891.0,920.0,885.0,893.9500122070312,808.4241943359375,1265,,,
2002-07-12,908.9000244140624,909.0,890.0999755859375,896.5,810.7303466796875,361,,,
2002-07-15,900.0,910.0,871.2000122070312,875.0,791.2871704101562,1265,,,
2002-07-16,890.0,890.0,880.0,883.0499877929688,798.5672607421875,552,,,
2002-07-17,880.0999755859375,883.0,880.0,881.6500244140625,797.3009033203125,572,,,
2002-07-18,867.0,925.0,867.0,912.4000244140624,825.109375,1293,,,
2002-07-19,915.0,915.0,903.0,907.4500122070312,820.6328735351562,415,,,
2002-07-22,898.0,901.0,880.0,885.5,800.7828979492188,756,,,
2002-07-23,870.0,894.9000244140625,870.0,891.4000244140625,806.118408203125,271,,,
2002-07-24,864.0,894.9500122070312,864.0,888.5,803.495849609375,423,,,
2002-07-25,900.0,900.0,891.0,892.0,806.6612548828125,355,,,
2002-07-26,852.0,884.9000244140625,852.0,881.7000122070312,797.346435546875,1101,,,
2002-07-29,884.0,905.0,852.0,897.0,811.1825561523438,2486,,,
2002-07-30,917.0,928.0,890.0,894.1500244140625,808.6051635742188,1657,,,
2002-07-31,876.0,898.9000244140625,870.0,889.75,804.6261596679688,1149,889.75,,
2002-08-01,898.0,898.0,883.5999755859375,884.9500122070312,800.2854614257812,659,889.75,,
2002-08-02,876.0,890.0,872.25,889.4000244140625,804.309814453125,666,889.75,,
2002-08-05,850.0,927.0,850.0,914.6500244140624,827.143798828125,1726,889.75,,
2002-08-06,970.0,970.0,893.0,906.0999755859376,819.4122924804688,691,889.75,,
2002-08-07,906.0,960.0499877929688,906.0,949.0499877929688,858.2529296875,5411,889.75,,
2002-08-08,949.7999877929688,949.7999877929688,894.0,900.5999755859375,814.43798828125,1071,889.75,,
2002-08-09,890.0,920.0,890.0,907.2000122070312,823.14892578125,417,889.75,,
2002-08-12,909.0,929.0,909.0,923.9000244140624,838.3017578125,587,889.75,,
2002-08-13,922.1500244140624,929.75,910.0,910.4500122070312,826.0977783203125,450,889.75,,
2002-08-14,891.0499877929688,908.5,891.0,897.3499755859375,814.2116088867188,409,889.75,,
2002-08-15,897.3499755859375,897.3499755859375,897.3499755859375,897.3499755859375,814.2116088867188,0,889.75,,
2002-08-16,849.9000244140625,919.0,849.9000244140625,908.0,823.8746337890625,205,889.75,,
2002-08-19,905.0,905.0,894.0,895.7999877929688,812.804931640625,349,889.75,,
2002-08-20,889.0,905.0,889.0,901.0499877929688,817.5685424804688,333,889.75,,
2002-08-21,890.0,913.0,890.0,906.25,822.286865234375,747,889.75,,
2002-08-22,910.0,925.0,905.5499877929688,911.1500244140624,826.7328491210938,675,889.75,,
2002-08-23,924.0,924.7000122070312,902.0,902.5,818.8840942382812,482,889.75,,
2002-08-26,915.0,920.0,902.0999755859376,912.0,827.50390625,156,889.75,,
2002-08-27,910.0,910.0,900.0,901.6500244140624,818.1132202148438,2288,889.75,,
2002-08-28,890.25,900.0,888.0999755859375,890.2000122070312,807.7239379882812,365,889.75,,
2002-08-29,888.0,895.0,888.0,891.9000244140625,809.2664184570312,252,889.75,,
2002-08-30,899.9500122070312,907.9000244140624,892.2000122070312,901.5999755859376,818.067626953125,323,889.75,,
2002-09-02,907.0,911.0,892.0,897.4000244140625,814.2566528320312,215,901.5999755859376,,
2002-09-03,909.9000244140624,909.9000244140624,890.0,895.0,812.0791015625,141,901.5999755859376,,
2002-09-04,899.9500122070312,904.0,890.0499877929688,894.6500244140625,811.7615966796875,210,901.5999755859376,,
2002-09-05,893.1500244140625,914.0,893.1500244140625,898.1500244140625,814.9371948242188,70,901.5999755859376,,
2002-09-06,851.0,902.0,851.0,901.4000244140624,817.885986328125,453,901.5999755859376,,
2002-09-09,840.0,900.0,840.0,896.5499877929688,813.4856567382812,636,901.5999755859376,,
2002-09-10,896.5499877929688,896.5499877929688,896.5499877929688,896.5499877929688,813.4856567382812,0,901.5999755859376,,
2002-09-11,900.0,909.0,900.0,909.0,824.7820434570312,255,901.5999755859376,,
2002-09-12,900.0,917.0,893.5,915.9500122070312,831.0880126953125,348,901.5999755859376,,
2002-09-13,906.0,913.7999877929688,905.0499877929688,906.0499877929688,822.105224609375,202,901.5999755859376,,
2002-09-16,895.0,912.0,895.0,907.5499877929688,823.46630859375,201,901.5999755859376,,
2002-09-17,905.0,913.0,905.0,909.5499877929688,825.281005859375,353,901.5999755859376,,
2002-09-18,905.9000244140624,914.0,905.0,910.9000244140624,826.5057983398438,910,901.5999755859376,,
2002-09-19,905.0499877929688,914.9500122070312,905.0499877929688,908.2999877929688,824.1467895507812,208,901.5999755859376,,
2002-09-20,906.0,917.0,906.0,915.5,830.6798095703125,660,901.5999755859376,,
2002-09-23,906.0,913.5,905.0,910.25,825.916259765625,1170,901.5999755859376,,
2002-09-24,906.0,914.0,906.0,912.9000244140624,828.32080078125,1038,901.5999755859376,,
2002-09-25,905.0,914.9000244140624,905.0,914.25,829.54541015625,440,901.5999755859376,,
2002-09-26,902.0,915.0,902.0,913.2000122070312,828.5927734375,312,901.5999755859376,,
2002-09-27,912.0,928.0,912.0,922.9500122070312,837.4395141601562,757,901.5999755859376,,
2002-09-30,920.0,920.0,881.5499877929688,899.5499877929688,816.2074584960938,369,899.5499877929688,,
2002-10-01,911.0,911.0,872.0499877929688,878.1500244140625,796.7904663085938,278,899.5499877929688,,
2002-10-02,878.1500244140625,878.1500244140625,878.1500244140625,878.1500244140625,796.7904663085938,0,899.5499877929688,,
