Date,Open,High,Low,Close,Adj Close,Volume,Monthly,60ma,extent_of_fall
2002-09-23,64.375,71.875,60.0,62.5,39.30756759643555,332608,61.5,,
2002-09-24,61.875,62.125,60.25,61.625,38.75725936889648,739968,61.5,,
2002-09-25,61.875,62.125,60.0,61.25,38.52141571044922,183424,61.5,,
2002-09-26,50.125,63.625,50.125,62.0,38.99311065673828,326208,61.5,,
2002-09-27,62.125,63.875,62.125,62.625,39.38618469238281,499776,61.5,,
2002-09-30,62.375,62.5,61.625,62.375,39.22895812988281,1150528,62.375,,
2002-10-01,60.625,62.625,60.625,62.0,38.99311065673828,644032,62.375,,
2002-10-02,62.0,62.0,62.0,62.0,38.99311065673828,0,62.375,,
2002-10-03,62.5,63.125,62.125,62.75,39.46479415893555,489664,62.375,,
2002-10-04,63.125,63.625,62.0,63.25,39.779258728027344,214400,62.375,,
2002-10-07,63.5,65.625,62.75,65.0,40.87986755371094,562496,62.375,,
2002-10-08,65.875,67.625,65.5,65.75,41.3515625,1117440,62.375,,
2002-10-09,66.25,69.25,63.75,64.75,40.72264099121094,9824000,62.375,,
2002-10-10,64.75,66.125,63.25,65.125,40.9584846496582,4106368,62.375,,
2002-10-11,66.25,68.75,65.75,68.375,43.00247573852539,4746816,62.375,,
2002-10-14,68.75,70.375,67.0,68.75,43.23832702636719,5041792,62.375,,
2002-10-15,68.75,68.75,68.75,68.75,43.23832702636719,0,62.375,,
2002-10-16,68.75,70.25,68.5,69.375,43.63140487670898,2095552,62.375,,
2002-10-17,69.375,70.625,68.375,69.875,43.94585800170898,1750016,62.375,,
2002-10-18,72.5,74.25,70.625,73.125,45.98985290527344,4194944,62.375,,
2002-10-21,69.875,73.125,69.875,71.125,44.73200607299805,1127488,62.375,,
2002-10-22,71.875,72.125,69.25,70.5,44.33894348144531,768640,62.375,,
2002-10-23,69.375,71.25,68.75,69.625,43.78862762451172,629568,62.375,,
2002-10-24,69.625,69.875,68.0,68.875,43.31694030761719,1046656,62.375,,
2002-10-25,68.125,68.25,66.375,67.0,42.13771057128906,1016000,62.375,,
2002-10-28,66.375,69.0,66.375,67.375,42.3735580444336,592128,62.375,,
2002-10-29,66.875,68.375,66.875,67.875,42.688018798828125,726528,62.375,,
2002-10-30,69.25,69.25,67.0,68.625,43.159706115722656,331712,62.375,,
2002-10-31,69.25,71.875,68.375,69.875,43.94585800170898,382592,69.875,,
2002-11-01,69.875,71.625,69.25,69.625,43.78862762451172,651008,69.875,,
2002-11-04,68.875,70.0,68.875,69.25,43.55278778076172,141312,69.875,,
