Date,Open,High,Low,Close,Adj Close,Volume,60_MA,60ma,extent_of_fall
2006-09-22,156.25,156.25,148.3125,150.28750610351562,112.33536529541016,2906004,134.6125030517578,,
2006-09-25,148.8125,152.9250030517578,147.5124969482422,148.3874969482422,110.91516876220705,2542148,134.6125030517578,,
2006-09-26,149.9499969482422,156.5,148.5,154.39999389648438,115.40933227539062,6943500,134.6125030517578,,
2006-09-27,154.875,157.9499969482422,154.0749969482422,154.8625030517578,115.75505828857422,4061248,134.6125030517578,,
2006-09-28,156.1750030517578,156.1750030517578,152.03750610351562,153.25,114.5497589111328,1210420,134.6125030517578,,
2006-09-29,153.75,157.5,152.5,154.60000610351562,115.55883026123048,2381504,134.6125030517578,,
2006-10-03,154.75,158.96249389648438,153.75,154.85000610351562,115.74566650390624,3202624,154.60000610351562,,
2006-10-04,155.39999389648438,156.0,152.5,153.4250030517578,114.68053436279295,1202696,154.60000610351562,,
2006-10-05,155.3000030517578,157.0,154.75,156.03750610351562,116.63331604003906,857264,154.60000610351562,,
2006-10-06,157.25,159.9875030517578,154.53750610351562,155.3249969482422,116.10074615478516,2473768,154.60000610351562,,
2006-10-09,154.5,156.22500610351562,152.5,153.5124969482422,114.74594116210938,961312,154.60000610351562,,
2006-10-10,155.0,156.1999969482422,152.58749389648438,153.96249389648438,115.0823211669922,840552,154.60000610351562,,
2006-10-11,155.0,163.4499969482422,155.0,157.4875030517578,117.7171630859375,7770292,154.60000610351562,,
2006-10-12,158.625,159.27499389648438,155.25,157.4250030517578,117.67042541503906,2884688,154.60000610351562,,
2006-10-13,158.77499389648438,173.22500610351562,158.77499389648438,170.4875030517578,127.43423461914062,10084532,154.60000610351562,,
2006-10-16,172.0625,179.5,172.0625,177.6125030517578,132.75994873046875,7437840,154.60000610351562,,
2006-10-17,178.5,179.25,175.0625,176.125,131.6481170654297,3306924,154.60000610351562,,
2006-10-18,177.5,178.75,170.0,171.0124969482422,127.8266830444336,3019184,154.60000610351562,,
2006-10-19,175.0,198.0,175.0,193.1750030517578,144.39247131347656,18835652,154.60000610351562,,
2006-10-20,194.75,225.0,194.0,215.8374938964844,161.33197021484375,21011380,154.60000610351562,,
2006-10-23,239.0,247.2375030517578,220.25,224.5375061035156,167.83502197265625,16687696,154.60000610351562,,
2006-10-26,225.0,231.5,223.0874938964844,229.6625061035156,171.665771484375,10700288,154.60000610351562,,
2006-10-27,230.3249969482422,253.5,230.3249969482422,250.2375030517578,187.0449676513672,17816692,154.60000610351562,,
2006-10-30,252.5,261.95001220703125,246.25,251.6374969482422,188.0913848876953,12570116,154.60000610351562,,
2006-10-31,252.0,256.25,239.1499938964844,247.4250030517578,184.9427032470703,8952160,247.4250030517578,,
2006-11-01,250.25,256.0,245.6499938964844,252.3125,188.5959625244141,7815152,247.4250030517578,,
2006-11-02,252.0,254.6625061035156,248.7875061035156,250.625,187.33457946777344,4379712,247.4250030517578,,
2006-11-03,251.0,251.25,246.25,248.0,185.3724670410156,2850172,247.4250030517578,,
2006-11-06,250.0,255.25,245.75,249.5749969482422,186.54974365234372,3482952,247.4250030517578,,
2006-11-07,253.4250030517578,253.6000061035156,246.8125,247.7375030517578,185.17630004882807,2035924,247.4250030517578,,
2006-11-08,249.6499938964844,251.25,242.25,247.6750030517578,185.1295623779297,3295280,247.4250030517578,,
2006-11-09,250.5,250.6999969482422,245.5,246.8999938964844,184.55026245117188,1888468,247.4250030517578,,
2006-11-10,248.6000061035156,257.75,243.75,249.8374938964844,186.74594116210935,5312484,247.4250030517578,,
2006-11-13,250.0,254.2124938964844,248.625,251.4375,187.94190979003903,2536604,247.4250030517578,,
2006-11-14,252.5,253.75,247.7875061035156,249.0375061035156,186.1480255126953,2367328,247.4250030517578,,
2006-11-15,250.0,272.45001220703125,249.375,268.3999938964844,200.6208648681641,10842812,247.4250030517578,,
